asin,name,date,rating,review,sentiment,cleaned_review,bert_sentiment,review_length
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,2019-09-06,1,I bought this hair oil after viewing so many good comments. But this product is not good enough.First of all it's Expensive...Second thing the amount of the product is low (half bottle) YES!The bottle is not completely filled with oil. If you cheating on your customers #Mamaearth trust me on this you can't fool people more than once. Now I know that your Brand is not good enough. I am not going to buy any product from your Brand again.Thumbs down for mamaearth onion oil !!,-1,bought hair oil viewing many good comments product good enoughfirst expensivesecond thing amount product low half bottle yesthe bottle completely filled oil cheating customers mamaearth trust cant fool people know brand good enough going buy product brand againthumbs mamaearth onion oil,0,41
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,2019-08-14,5,"Used This Mama Earth Newly Launched Onion Oil twice, and i must say im already impressed by the results !It prevents hair loss, helps control premature greying, dryness, dandruff, scalp eruptions and many other hair problems after its regular use !To avoid dry and frizzy hair, make sure that you use this oil to your hairs twice a week.Oiling provides your scalp with essential nutrients, and also strengthens the hair roots. Mamaearth onion oil works best for your hair during all the seasons.",1,used mama earth newly launched onion oil twice must say im already impressed results prevents hair loss helps control premature greying dryness dandruff scalp eruptions many hair problems regular use avoid dry frizzy hair make sure use oil hairs twice weekoiling provides scalp essential nutrients also strengthens hair roots mamaearth onion oil works best hair seasons,1,56
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,2019-10-19,1,So bad product...My hair falling increase too much..I order shampoo mask and oil.. nothing stop hairfallAfter 3 to 4 wash my hair falling so badly...,-1,bad productmy hair falling increase muchi order shampoo mask oil nothing stop hairfallafter wash hair falling badly,0,17
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,2019-09-16,1,Product just smells similar to navarathna hair oil .. but not strong as that and oil is not sticky after applying three drops of oil !! More review after usage of 2 months1) worst product2) hair fall increased a lot3) brought this product after watching YouTube influencer Mumbaiker Nikhil4) totally misguided never take suggestions from influencers.5) using since 2 months no result and I'm losing my more hair6) mama earth just wasted my money as well damaged my hair7)better they provide solution or return my money,-1,product smells similar navarathna hair oil strong oil sticky applying three drops oil review usage months worst product hair fall increased lot brought product watching youtube influencer mumbaiker nikhil totally misguided never take suggestions influencers using since months result im losing hair mama earth wasted money well damaged hairbetter provide solution return money,0,53
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,2019-08-18,5,I have been trying different onion oil for my hair as my hair is not very healthy. This product has literally changed the texture of my scalp and I am really happy with the results. It comes in a nice colorful packaging too. Definitely recommend this one to everyone looking out for onion oil.  For more reviews you can follow me on Instagram @insi_lovemyself.,1,trying different onion oil hair hair healthy product literally changed texture scalp really happy results comes nice colorful packaging definitely recommend one everyone looking onion oil reviews follow instagram insilovemyself,1,30
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,2019-09-30,4,"I have been using this product for some time now. My Roommate had this and I had been planning to order for a while now. I just used to forget all the time, finally I have it now.Well from the last 2 months of use, here's my experience with the product:I use it every night and get a shower in the morning.Pros:1. The oil is non greasy, and pretty light.2. Has very good smell.no pungent or awkward fragrance3. My hair doesn't lump in together as with other hair oil products.4.Gives a pretty good shine and dark color5. It's very helpful for dandruff, hairfall/ hairloss. I don't have a very dense hair presence so my scalp was visible all the time, Now it looks pretty dense.Cons.1 .can't find anything at allI do recommend it for people having hairfall issues.",1,using product time roommate planning order used forget time finally nowwell last months use heres experience producti use every night get shower morningpros oil non greasy pretty light good smellno pungent awkward fragrance hair doesnt lump together hair oil productsgives pretty good shine dark color helpful dandruff hairfall hairloss dont dense hair presence scalp visible time looks pretty densecons cant find anything alli recommend people hairfall issues,1,67
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,2019-09-28,1,I purchased both oil and shampoo after watching fake YouTube  and customer review.After first day of use of oil and shampoo my hairfall increased.,-1,purchased oil shampoo watching fake youtube customer reviewafter first day use oil shampoo hairfall increased,0,15
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,2019-08-20,5,It's a very good product from mamaearth. The oil gives your hair full strength and perfect shine. Onion are rich in sulphur thats add up the strength of hair roots and holds the hair preventing hairloss. Suitable for all type hair. For better result use at night. Go for it.,1,good product mamaearth oil gives hair full strength perfect shine onion rich sulphur thats add strength hair roots holds hair preventing hairloss suitable type hair better result use night go,1,30
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,2019-11-15,3,"Why are you showing onion oil benefits in your ad , when you ate not giving onion oil in your product. I bought this for redensyl content ...but not sure about the percentage of it bein added. Secondly it only has onion extracts, which am sure not is effective.Switchin back to my conventional method of makin onion juice and applyin on scalp",0,showing onion oil benefits ad ate giving onion oil product bought redensyl content sure percentage bein added secondly onion extracts sure effectiveswitchin back conventional method makin onion juice applyin scalp,0,30
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,2019-08-30,5,I used it only one time so I can't say about hairfall control but I couldn't stop myself to mention about its amazing effect. It made my hair extremely soft and shiny which was visible properly. Smell was strong but not bothering. I think this is the best hair fall which I have used till date. My search ends over here I suppose. Just waiting to see its impact on arresting hairfall.,1,used one time cant say hairfall control couldnt stop mention amazing effect made hair extremely soft shiny visible properly smell strong bothering think best hair fall used till date search ends suppose waiting see impact arresting hairfall,1,37
